subsystem,reaction
"Transport, lysosomal",ACGAGBSIDEtl
"Transport, extracellular",ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",ACGALtlg
Aminosugar metabolism,ACGAMK
Aminosugar metabolism,ACGAMPM
"Transport, lysosomal",ACGAMtly
"Transport, lysosomal",ACGBGBSIDEtl
"Transport, nuclear",ACHtn
"Transport, extracellular",ACHVESSEC_1
"Transport, golgi apparatus",ACN13ACNGALGBSIDEtg
"Transport, golgi apparatus",ACNACNGAL14ACGLCGALGLUSIDEtg
"Transport, golgi apparatus",ACNACNGALGBSIDEtg
"Transport, lysosomal",ACNAMlt
"Transport, nuclear",ACNAMtn
"Transport, extracellular",ACNGALACGLCGAL14ACGLCGALGLUSIDEte
Aminosugar metabolism,ACNML
"Valine, leucine, and isoleucine metabolism",ACOAD10m
"Valine, leucine, and isoleucine metabolism",ACOAD8m
"Valine, leucine, and isoleucine metabolism",ACOAD9m
Fatty acid oxidation,ACOAO7p
Urea cycle,ACODA
Citric acid cycle,ACONTm
Vitamin B2 metabolism,ACP1_FMN
Propanoate metabolism,ACS2
Tryptophan metabolism,ACSRTNMT
"Transport, extracellular",ACt2r
"Transport, extracellular",ADEt
Nucleotide interconversion,ADK3
Nucleotide interconversion,ADK3m
Nucleotide interconversion,ADKd
Arginine and proline metabolism,ADMDC
"Transport, extracellular",ADNt4
"Transport, lysosomal",ADNtl
"Transport, mitochondrial",ADNtm
Nucleotide interconversion,ADPMAN
"Transport, extracellular",ADPRIBt
"Transport, peroxisomal",ADRNCOAtx
Fatty acid oxidation,ADRNCRNt
Purine synthesis,ADSL2r
Keratan sulfate synthesis,AG13T16g
Keratan sulfate synthesis,AG13T18g
Keratan sulfate synthesis,AG13T2g
Arginine and proline metabolism,AGMTm
Alanine and aspartate metabolism,AGTim
"Transport, extracellular",AHANDROSTANGLCte
N-glycan degradation,AHEXASE2ly
Purine synthesis,AIRCr
"Transport, mitochondrial",AKGMALtm
"Transport, extracellular",AKGt4_3
Bile acid synthesis,AKR1C41
Bile acid synthesis,AKR1D
"Transport, extracellular",ALAGLYexR
"Transport, extracellular",ALASERNaEx
"Glycine, serine, alanine, and threonine metabolism",ALASm
"Transport, extracellular",ALATHRNaEx
Pyruvate metabolism,ALCD21_D
Pyruvate metabolism,ALCD22_D
Glycolysis/gluconeogenesis,ALCD2y
Tryptophan metabolism,ALDD20xm
Glycolysis/gluconeogenesis,ALDD2xm
Glycolysis/gluconeogenesis,ALDD2y
"Transport, extracellular",ALDSTRNte
"Transport, mitochondrial",ALDSTRNtm
Eicosanoid metabolism,ALOX15
Pyruvate metabolism,ALR2
Pyruvate metabolism,ALR3
Bile acid synthesis,AMACR2p
Bile acid synthesis,AMACRp
"Transport, endoplasmic reticular",AMETr
"Transport, mitochondrial",AMETt2m
Nucleotide interconversion,AMPDA
Starch and sucrose metabolism,AMY2e
"Transport, extracellular",ANDRSTRNGLCte
"Transport, endoplasmic reticular",ANDRSTRNGLCtr
"Transport, endoplasmic reticular",ANDRSTRNtr
"Transport, extracellular",ANTIPYRENEte
Biotin metabolism,APOCFm
Biotin metabolism,APOC_LYS_BTNP
Arginine and proline metabolism,APRTO2
"Transport, extracellular",ARAB_Lt
Pentose phosphate pathway,ARABR
"Transport, peroxisomal",ARACHDCOAtx
"Transport, extracellular",ARACHDt2
"Transport, extracellular",ARACHt
Arginine and proline metabolism,ARGDCm
"Transport, extracellular",ARGLYSex
Alanine and aspartate metabolism,ARGSS
"Transport, extracellular",ARGt4
R group synthesis,ARTCOAL3_cho
Miscellaneous,R_group_phosphotase_2
Miscellaneous,R_group_phosphotase_3
Vitamin C metabolism,ASCBOX_1
"Transport, extracellular",ASCBt
"Transport, extracellular",ASNCYSNaEx
"Transport, extracellular",ASNGLNNaEx
Alanine and aspartate metabolism,ASNNm
Alanine and aspartate metabolism,ASNS1
"Transport, extracellular",ASNt4
"Transport, peroxisomal",ASPDxt
"Transport, mitochondrial",ASPGLUm
Alanine and aspartate metabolism,ASPNATm
"Transport, extracellular",ASPt6
Alanine and aspartate metabolism,ASPTAm
"Transport, endoplasmic reticular",ATP1ter
"Transport, extracellular",BILGLCURte
Heme degradation,BILIRED
Extracellular exchange,EX_6htststerone_e
"Transport, lysosomal",ATPasel_1
"Transport, nuclear",ATPtn
"Transport, peroxisomal",ATPtx
"Transport, extracellular",AVITE2t
Sphingolipid metabolism,B3GALT3g
Sphingolipid metabolism,B3GALT42g
Blood group synthesis,B3GALTg
Blood group synthesis,B3GNT11g
Blood group synthesis,B3GNT310g
Blood group synthesis,B3GNT315g
Sphingolipid metabolism,B3GNT31g
Sphingolipid metabolism,B3GNT34g
Sphingolipid metabolism,B3GNT37g
Sphingolipid metabolism,B3GNT39g
Blood group synthesis,B3GNT51g
Bile acid synthesis,BAAT1x
Bile acid synthesis,BAAT3x
Biotin metabolism,BACCL
"Transport, extracellular",BALAVECSEC_1
Butanoate metabolism,BDHm
"Glycine, serine, alanine, and threonine metabolism",BETALDHxm
"Transport, mitochondrial",BHBtm
"Glycine, serine, alanine, and threonine metabolism",BHMT
"Transport, extracellular",BILDGLCURt
Biotin metabolism,BTNDm
Biotin metabolism,BTNPL
"Transport, mitochondrial",BTNt2m
"Transport, extracellular",BTNt3i_1
"Transport, extracellular",BVITEt
"Transport, endoplasmic reticular",BZtr
Fatty acid oxidation,C160CPT1
Fatty acid oxidation,C160CPT2
Fatty acid oxidation,C160CRNt
Fatty acid oxidation,C161CPT1
Fatty acid oxidation,C161CPT12
Fatty acid oxidation,C161CPT2
Fatty acid oxidation,C161CRN2t
Fatty acid oxidation,C161CRNt
Fatty acid oxidation,C180CPT1
Fatty acid oxidation,C181CPT1
Fatty acid oxidation,C181CRNt
Fatty acid oxidation,C204CPT1
Fatty acid oxidation,C204CPT2
"Transport, peroxisomal",C226COAtx
Fatty acid oxidation,C226CPT1
Fatty acid oxidation,C226CPT2
Fatty acid oxidation,C226CRNt
Cholesterol metabolism,C3STDH1r
Cholesterol metabolism,C4STMO1r
Cholesterol metabolism,C4STMO2Pr
"Transport, extracellular",CAATPS_1
"Transport, extracellular",CAROtr
"Transport, extracellular",CAt7r
ROS detoxification,CATm
Miscellaneous,CATp
"Transport, mitochondrial",CBL2tm
Glycolysis/gluconeogenesis,CBPPer
Eicosanoid metabolism,CBR2
Glycerophospholipid metabolism,CDIPTr
"Transport, mitochondrial",CDPDAGtm
Glycerophospholipid metabolism,CDS
"Transport, golgi apparatus",CERT1gt
"Transport, endoplasmic reticular",CERT1rt
"Transport, endoplasmic reticular",CERT2rt
Bile acid synthesis,CH25H
Glycerophospholipid metabolism,CHATn
Glycerophospholipid metabolism,CHLP
"Glycine, serine, alanine, and threonine metabolism",CHOLD2m
Glycerophospholipid metabolism,CHOLK
"Transport, lysosomal",CHOLPtl
"Transport, nuclear",CHOLtn
"Transport, endoplasmic reticular",CHOLtr
"Transport, mitochondrial",CHSTEROLt3
"Transport, mitochondrial",CITRtm
"Transport, mitochondrial",CITtam
Urea cycle,CK_cho
"Transport, extracellular",CLHCO3tex2
"Transport, extracellular",CLOXAtex2
"Transport, peroxisomal",CLPNDCOAtx
Fatty acid oxidation,CLPNDCPT1
"Transport, extracellular",CLPNDt
"Transport, nuclear",CMPACNAtn
Aminosugar metabolism,ACNMCT
"Transport, golgi apparatus",CO2tg
"Transport, mitochondrial",CO2tm
"Transport, mitochondrial",COAtim
Alkaloid synthesis,COKECBESr
Ubiquinone synthesis,COQ3m
Ubiquinone synthesis,COQ6m
Ubiquinone synthesis,COQ7m
O-glycan metabolism,CORE3GTg
O-glycan metabolism,CORE6GTg
O-glycan metabolism,CORE7GTg
"Transport, extracellular",CREATt4_2_r
Urea cycle,CREATtmdiffir
"Transport, extracellular",CRMPte
"Transport, peroxisomal",CRNCAR3tp
"Transport, peroxisomal",CRNCARtp
"Transport, extracellular",CRNt
"Transport, extracellular",CRNtHa
"Transport, extracellular",CRNtuNa
Urea cycle,CRTNsyn_cho
"Transport, extracellular",CRTSLt
"Transport, mitochondrial",CRTSLtm
"Transport, endoplasmic reticular",CRTSLtr
"Transport, extracellular",CRVNCtr
Chondroitin sulfate degradation,CSAPASEly
Chondroitin sulfate degradation,CSCPASEly
Chondroitin sulfate degradation,CSEPASEly
Fatty acid oxidation,CSNAT2m
Fatty acid oxidation,CSNAT2x
Fatty acid oxidation,CSNAT3x
Fatty acid oxidation,CSNATm
Fatty acid oxidation,CSNATp
Fatty acid oxidation,CSNATr
"Transport, lysosomal",CSPG_Atly
"Transport, extracellular",CSPG_Ct
"Transport, lysosomal",CSPG_Ctly
"Transport, extracellular",CSPG_Dt
"Transport, lysosomal",CSPG_Dtly
"Transport, nuclear",CTPtn
"Transport, extracellular",CYANt
"Transport, mitochondrial",CYANtm
"Transport, extracellular",CYSALANaEx
"Transport, extracellular",CYSASNNaEx
"Transport, extracellular",CYSGLYex
Taurine and hypotaurine metabolism,CYSO
"Transport, extracellular",CYSSERNaEx
"Transport, extracellular",CYStec
"Transport, extracellular",CYSTGLUex
Pyrimidine catabolism,CYTD
Nucleotide interconversion,CYTDn
"Transport, extracellular",CYTDt
"Transport, lysosomal",CYTDtl
Nucleotide interconversion,CYTK12
Nucleotide interconversion,CYTK12n
Nucleotide interconversion,CYTK13n
Nucleotide interconversion,CYTK14
Nucleotide interconversion,CYTK1m
Nucleotide interconversion,CYTK2n
Nucleotide interconversion,CYTK3
Nucleotide interconversion,CYTK4
Nucleotide interconversion,CYTK5n
Nucleotide interconversion,CPK1
Nucleotide interconversion,CYTK6n
Nucleotide interconversion,CYTK7
Nucleotide interconversion,CYTK7n
Nucleotide interconversion,CYTK8
Nucleotide interconversion,CYTK8n
Nucleotide interconversion,DADNK
"Transport, endoplasmic reticular",DAG_HSter
Glycerophospholipid metabolism,DAGK_hs
Arginine and proline metabolism,DARGOp
Vitamin C metabolism,DASCBH
Alanine and aspartate metabolism,DASPO1p
"Transport, nuclear",DATPtn
Nucleotide interconversion,DCK1m
Nucleotide interconversion,DCK1n
Fatty acid oxidation,DLNLCGCPT2
Fatty acid oxidation,DCSPTN1CPT1
Fatty acid oxidation,DCSPTN1CRNt
"Transport, extracellular",DCSPTN1t
"Transport, nuclear",DCTPtn
Pyrimidine catabolism,DCYTD
Nucleotide interconversion,DCYTDn
"Transport, extracellular",DCYTt
"Transport, mitochondrial",DECDPtm
N-glycan synthesis,DEDOLP2_L
Fatty acid synthesis,DESAT18_10
Fatty acid synthesis,DESAT18_6
Fatty acid synthesis,DESAT18_12
Fatty acid synthesis,DESAT22_2p
Fatty acid synthesis,DESAT24_1
"Transport, extracellular",DGCHOLte
"Transport, extracellular",DGSNt
"Transport, mitochondrial",DGSNtm
Sphingolipid metabolism,DHCRD2
Ubiquinone synthesis,DHDPBMTm
"Transport, extracellular",DHEASt
Steroid metabolism,DHEASULT
"Transport, endoplasmic reticular",DHEAtr
"Transport, lysosomal",DHFtl
"Transport, mitochondrial",DHFtm
Pyrimidine synthesis,DHORD9
Pyrimidine catabolism,DHPM1
"Transport, golgi apparatus",DIGALSGALSIDEtg
"Transport, lysosomal",DIGALSIDEtl
"Transport, nuclear",DITPtn
"Transport, extracellular",D_LACt2
Fatty acid oxidation,DLNLCGCPT1
Intracellular demand,DM_Asn_X_Ser_Thr_l
Intracellular demand,DM_core5_g
Intracellular demand,DM_dem2emgacpail_prot_hs_r
Intracellular demand,DM_dgpi_prot_hs_r
Intracellular demand,DM_dsT_antigen_g
Intracellular demand,DM_kdn_c
Intracellular demand,DM_melanin_c
Intracellular demand,DM_n5m2masn_g
Intracellular demand,DM_oretn_n
Intracellular demand,DM_Ser_Thr_l
Intracellular demand,DM_Ser_Gly_Ala_X_Gly_l
Intracellular demand,DM_sprm_c
"Transport, extracellular",DMANTIPYRINEte
Cholesterol metabolism,DMATTx
"Glycine, serine, alanine, and threonine metabolism",DMGDHm
"Transport, mitochondrial",DMGtm
Fatty acid oxidation,DMHPTCRNCPT2
"Transport, extracellular",DMHPTCRNte
Fatty acid oxidation,C110CPT2m
Fatty acid oxidation,DMNONCRNt
"Transport, nuclear",DNADtn
"Transport, mitochondrial",DNDPt10m
"Transport, mitochondrial",DNDPt11m
"Transport, mitochondrial",DNDPt13m
"Transport, mitochondrial",DNDPt14m
"Transport, mitochondrial",DNDPt15m
"Transport, mitochondrial",DNDPt16m
"Transport, mitochondrial",DNDPt17m
"Transport, mitochondrial",DNDPt18m
"Transport, mitochondrial",DNDPt1m
"Transport, mitochondrial",DNDPt20m
"Transport, mitochondrial",DNDPt21m
"Transport, mitochondrial",DNDPt25m
"Transport, mitochondrial",DNDPt28m
"Transport, mitochondrial",DNDPt32m
"Transport, mitochondrial",DNDPt37m
"Transport, mitochondrial",DNDPt38m
"Transport, mitochondrial",DNDPt39m
"Transport, mitochondrial",DNDPt40m
"Transport, mitochondrial",DNDPt42m
"Transport, mitochondrial",DNDPt43m
"Transport, mitochondrial",DNDPt45m
"Transport, mitochondrial",DNDPt49m
"Transport, mitochondrial",DNDPt50m
"Transport, mitochondrial",DNDPt52m
"Transport, mitochondrial",DNDPt55m
"Transport, mitochondrial",DNDPt56m
"Transport, mitochondrial",DNDPt57m
"Transport, mitochondrial",DNDPt59m
"Transport, mitochondrial",DNDPt5m
"Transport, mitochondrial",DNDPt60m
"Transport, mitochondrial",DNDPt61m
"Transport, mitochondrial",DNDPt62m
"Transport, mitochondrial",DNDPt63m
"Transport, mitochondrial",DNDPt6m
N-glycan synthesis,DOLGPP_Ler
N-glycan synthesis,DOLICHOL_Lter
N-glycan synthesis,DOLICHOL_Uter
N-glycan synthesis,DOLK_U
N-glycan synthesis,DOLPH_Uer
N-glycan synthesis,DOLPMT_U
N-glycan synthesis,DOLP_Lter
N-glycan synthesis,DOLP_Uter
"Transport, extracellular",DOPAt4_2_r
"Transport, extracellular",DOPAtu
"Transport, extracellular",DOPAVESSEC_1
"Transport, lysosomal",DPCOAtl
Glycolysis/gluconeogenesis,DPGase
Sphingolipid metabolism,DSAT
"Transport, nuclear",DTDPtn
"Transport, nuclear",DUDPtn
Pyrimidine catabolism,DURAD
Pyrimidine catabolism,DURAD2
Nucleotide interconversion,DURIK1
"Transport, extracellular",DURIt
Nucleotide interconversion,DUTPDPm
"Transport, endoplasmic reticular",EBASTINEOHtr
"Transport, extracellular",EBASTINEte
"Valine, leucine, and isoleucine metabolism",ECOAH12m
"Valine, leucine, and isoleucine metabolism",ECOAH9m
Fatty acid oxidation,EICOSTETCPT1
N-glycan degradation,ENGASE2ly
"Transport, endoplasmic reticular",ESTRADIOLGLCtr
"Transport, extracellular",ESTRADIOLt
"Transport, extracellular",ESTRIOLGLCte
"Transport, endoplasmic reticular",ESTRIOLtr
"Transport, extracellular",ESTRONEGLCt
"Transport, extracellular",ESTRONESt
"Transport, extracellular",ESTRONESt2
"Transport, endoplasmic reticular",ESTRONEtr
Fatty acid oxidation,ETF
Fatty acid oxidation,ETFQO
Glycerophospholipid metabolism,ETHAK
Extracellular exchange,EX_10fthf5glu_e
Extracellular exchange,EX_10fthf6glu_e
Extracellular exchange,EX_10fthf7glu_e
Extracellular exchange,EX_11_cis_retfa_e
Extracellular exchange,EX_13_cis_retnglc_e
Extracellular exchange,EX_24nph_e
Extracellular exchange,EX_25hvitd3_e
Extracellular exchange,EX_2hb_e
Extracellular exchange,EX_2mcit_e
Extracellular exchange,EX_34dhphe_e
Extracellular exchange,EX_35cgmp_e
Extracellular exchange,EX_4hphac_e
Extracellular exchange,EX_4mptnl_e
Extracellular exchange,EX_7dhf_e
Extracellular exchange,EX_7thf_e
Extracellular exchange,EX_9_cis_retfa_e
Extracellular exchange,EX_acetone_e
Extracellular exchange,EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e
Extracellular exchange,EX_acnacngal14acglcgalgluside_hs_e
Extracellular exchange,EX_adp_e
Extracellular exchange,EX_ahandrostanglc_e
Extracellular exchange,EX_ala_B_e
Extracellular exchange,EX_ala__D_e
Extracellular exchange,EX_aldstrn_e
Extracellular exchange,EX_andrstrn_e
Extracellular exchange,EX_andrstrnglc_e
Extracellular exchange,EX_antipyrene_e
Extracellular exchange,EX_appnn_e
Extracellular exchange,EX_arach_e
Extracellular exchange,EX_avite1_e
Extracellular exchange,EX_avite2_e
Extracellular exchange,EX_bhb_e
Extracellular exchange,EX_bildglcur_e
Extracellular exchange,EX_biocyt_e
Extracellular exchange,EX_bvite_e
Extracellular exchange,EX_caro_e
Extracellular exchange,EX_carveol_e
Extracellular exchange,EX_chol_e
Extracellular exchange,EX_cholate_e
Extracellular exchange,EX_chtn_e
Extracellular exchange,EX_clpnd_e
Extracellular exchange,EX_coumarin_e
Extracellular exchange,EX_creat_e
Extracellular exchange,EX_crmp_hs_e
Extracellular exchange,EX_crn_e
Extracellular exchange,EX_crtstrn_e
Extracellular exchange,EX_crvnc_e
Extracellular exchange,EX_cspg_c_e
Extracellular exchange,EX_cspg_e_e
Extracellular exchange,EX_cyan_e
Extracellular exchange,EX_dag_hs_e
Extracellular exchange,EX_dcsptn1_e
Extracellular exchange,EX_dhdascb_e
Extracellular exchange,EX_dheas_e
Extracellular exchange,EX_dhf_e
Extracellular exchange,EX_digalsgalside_hs_e
Extracellular exchange,EX_dlnlcg_e
Extracellular exchange,EX_dmantipyrine_e
Extracellular exchange,EX_dmhptcrn_e
Extracellular exchange,EX_dopa_e
Extracellular exchange,EX_eaflatoxin_e
Extracellular exchange,EX_ebastine_e
Extracellular exchange,EX_eicostet_e
Extracellular exchange,EX_estradiolglc_e
Extracellular exchange,EX_fucacngalacglcgalgluside_hs_e
Extracellular exchange,EX_fucfuc12gal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucfucfucgalacglc13galacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucfucgalacglcgalgluside_hs_e
Extracellular exchange,EX_fucgal14acglcgalgluside_hs_e
Extracellular exchange,EX_fucgalgbside_hs_e
Extracellular exchange,EX_fuc__L_e
Extracellular exchange,EX_galacglcgalgbside_hs_e
Extracellular exchange,EX_galfucgalacglcgal14acglcgalgluside_hs_e
Extracellular exchange,EX_gd1c_hs_e
Extracellular exchange,EX_gdp_e
Extracellular exchange,EX_gluala_e
Extracellular exchange,EX_glyc__S_e
Extracellular exchange,EX_gp1calpha_hs_e
Extracellular exchange,EX_gq1balpha_hs_e
Extracellular exchange,EX_gsn_e
Extracellular exchange,EX_gt1a_hs_e
Extracellular exchange,EX_gthox_e
Extracellular exchange,EX_ha_e
Extracellular exchange,EX_ha_pre1_e
Extracellular exchange,EX_hcoumarin_e
Extracellular exchange,EX_hdcea_e
Extracellular exchange,EX_hexc_e
Extracellular exchange,EX_hom__L_e
Extracellular exchange,EX_hspg_e
Extracellular exchange,EX_htaxol_e
Extracellular exchange,EX_i_e
Extracellular exchange,EX_imp_e
Extracellular exchange,EX_ksi_e
Extracellular exchange,EX_ksii_core4_e
Extracellular exchange,EX_lac__D_e
Extracellular exchange,EX_cysi__L_e
Extracellular exchange,EX_leuktrB4_e
Extracellular exchange,EX_leuktrC4_e
Extracellular exchange,EX_leuktrD4_e
Extracellular exchange,EX_leuktrE4_e
Extracellular exchange,EX_limnen_e
Extracellular exchange,EX_lipoate_e
Extracellular exchange,EX_lnlc_e
Extracellular exchange,EX_lnlnca_e
Extracellular exchange,EX_lpchol_hs_e
Extracellular exchange,EX_meoh_e
Extracellular exchange,EX_mercplaccys_e
Extracellular exchange,EX_mthgxl_e
Extracellular exchange,EX_nad_e
Extracellular exchange,EX_nadp_e
Extracellular exchange,EX_nifedipine_e
Extracellular exchange,EX_npthl_e
Extracellular exchange,EX_nrpphr_e
Extracellular exchange,EX_oagd3_hs_e
Extracellular exchange,EX_oagt3_hs_e
Extracellular exchange,EX_ocdca_e
Extracellular exchange,EX_ocdcea_e
Extracellular exchange,EX_octa_e
Extracellular exchange,EX_onpthl_e
Extracellular exchange,EX_oxa_e
Extracellular exchange,EX_paf_hs_e
Extracellular exchange,EX_pchol_hs_e
Extracellular exchange,EX_perillyl_e
Extracellular exchange,EX_pheacgln_e
Extracellular exchange,EX_phllqne_e
Extracellular exchange,EX_phyt_e
Extracellular exchange,EX_prostgd2_e
Extracellular exchange,EX_prostge2_e
Extracellular exchange,EX_prostgf2_e
Extracellular exchange,EX_ps_hs_e
Extracellular exchange,EX_retfa_e
Extracellular exchange,EX_retinol_e
Extracellular exchange,EX_Rtotal2_e
Extracellular exchange,EX_Rtotal3_e
Extracellular exchange,EX_s2l2n2m2masn_e
Extracellular exchange,EX_sarcs_e
Extracellular exchange,EX_spc_hs_e
Extracellular exchange,EX_sph1p_e
Extracellular exchange,EX_strdnc_e
Extracellular exchange,EX_tag_hs_e
Extracellular exchange,EX_taxol_e
Extracellular exchange,EX_tchola_e
Extracellular exchange,EX_tcynt_e
Extracellular exchange,EX_tdchola_e
Extracellular exchange,EX_tetpent3_e
Extracellular exchange,EX_tetpent6_e
Extracellular exchange,EX_thmmp_e
Extracellular exchange,EX_thym_e
Extracellular exchange,EX_triodthy_e
Extracellular exchange,EX_triodthysuf_e
Extracellular exchange,EX_tststeroneglc_e
Extracellular exchange,EX_tststerones_e
Extracellular exchange,EX_ttdca_e
Extracellular exchange,EX_tymsf_e
Extracellular exchange,EX_Tyr_ggn_e
Extracellular exchange,EX_udp_e
Extracellular exchange,EX_vitd3_e
Extracellular exchange,EX_whddca_e
Extracellular exchange,EX_whhdca_e
Extracellular exchange,EX_whttdca_e
Extracellular exchange,EX_xoltri25_e
Extracellular exchange,EX_xoltri27_e
"Transport, golgi apparatus",F1Atg
Fatty acid oxidation,FACOAL140
Fatty acid oxidation,FACOAL160
Fatty acid oxidation,FACOAL170
Fatty acid oxidation,FACOAL181
Fatty acid oxidation,FACOAL1821
Fatty acid oxidation,FACOAL1822
Fatty acid oxidation,FACOAL1831
Fatty acid oxidation,FACOAL184
Fatty acid oxidation,FACOAL203
Fatty acid oxidation,FACOAL204
Fatty acid oxidation,FACOAL2042
Fatty acid oxidation,FACOAL205
Fatty acid oxidation,FACOAL2251
Fatty acid oxidation,FACOAL2252
Fatty acid oxidation,FACOAL240_1
Fatty acid oxidation,FACOAL241
Fatty acid oxidation,FACOAL245_1
Fatty acid oxidation,FACOAL40im
Fatty acid oxidation,FACOAL80
"Transport, endoplasmic reticular",FADH2tru
"Transport, peroxisomal",FADH2tx
"Transport, endoplasmic reticular",FADtru
"Transport, peroxisomal",FADtx
Fatty acid synthesis,FAEL184
Fatty acid synthesis,FAEL204
Fatty acid synthesis,FAEL205
Cytochrome metabolism,FAH1
Cytochrome metabolism,FAH2
Tyrosine metabolism,FALDH
"Transport, lysosomal",FALDtly
"Transport, mitochondrial",FALDtm
Fatty acid oxidation,FAOXC11
Fatty acid oxidation,FAOXC16080m
Fatty acid oxidation,FAOXC16080x
Fatty acid oxidation,FAOXC180x
Fatty acid oxidation,FAOXC1811601m
Fatty acid oxidation,FAOXC1811603m
Fatty acid oxidation,FAOXC182806m
Fatty acid oxidation,FAOXC18280m
Fatty acid oxidation,FAOXC183806m
Fatty acid oxidation,FAOXC18480m
Fatty acid oxidation,FAOXC200180x
Fatty acid oxidation,FAOXC2031836m
Fatty acid oxidation,FAOXC204
Fatty acid oxidation,FAOXC2051843m
Fatty acid oxidation,FAOXC2051843x
Fatty acid oxidation,FAOXC2251836m
Fatty acid oxidation,FAOXC2252053m
Fatty acid oxidation,FAOXC2252053x
"Transport, extracellular",GCHOLAte
Fatty acid oxidation,FAOXC226205m
Fatty acid oxidation,FAOXC2442246x
Fatty acid oxidation,FAOXC2452253x
Fatty acid oxidation,FAOXC2452256x
Fatty acid oxidation,FAOXC246226x
Fatty acid oxidation,FAOXC260240x_1
Fatty acid synthesis,FAS160COA
"Transport, extracellular",FATP1t
"Transport, extracellular",FATP2t
"Transport, extracellular",FATP3t
"Transport, extracellular",FATP7t
"Transport, extracellular",FATP8t
Galactose metabolism,FBA5
Fatty acid oxidation,FDH
"Transport, extracellular",FE2t
Heme synthesis,FE3R2e_1
Fructose and mannose metabolism,FK
Tryptophan metabolism,FKYNH
"Transport, peroxisomal",FORMCOAtx
"Transport, mitochondrial",FORtm
"Transport, endoplasmic reticular",FORtr
Folate metabolism,FPGS2
Folate metabolism,FPGS2m
Folate metabolism,FPGS3
Folate metabolism,FPGS4_1
Folate metabolism,FPGS4m_1
Folate metabolism,FPGS5
Folate metabolism,FPGS5m
Folate metabolism,FPGS6m
Folate metabolism,FPGS7m_1
Folate metabolism,FPGS8m
Folate metabolism,FPGS9
Folate metabolism,FPGSm_1
"Transport, peroxisomal",FRDPtc
"Transport, peroxisomal",FRDPtr
"Transport, extracellular",FRUt1r
Folate metabolism,FTHFDH
Folate metabolism,FTHFLmi
